pclass,survived,sex,age,Adult
First,1,female,29,Adult
First,1,male,0.9167,Child
First,0,female,2,Child
First,0,male,30,Adult
First,0,female,25,Adult
First,1,male,48,Adult
First,1,female,63,Adult
First,0,male,39,Adult
First,1,female,53,Adult
First,0,male,71,Adult
First,0,male,47,Adult
First,1,female,18,Adult
First,1,female,24,Adult
First,1,female,26,Adult
First,1,male,80,Adult
First,0,male,24,Adult
First,1,female,50,Adult
First,1,female,32,Adult
First,0,male,36,Adult
First,1,male,37,Adult
First,1,female,47,Adult
First,1,male,26,Adult
First,1,female,42,Adult
First,1,female,29,Adult
First,0,male,25,Adult
First,1,male,25,Adult
First,1,female,19,Adult
First,1,female,35,Adult
First,1,male,28,Adult
First,0,male,45,Adult
First,1,male,40,Adult
First,1,female,30,Adult
First,1,female,58,Adult
First,0,male,42,Adult
First,1,female,45,Adult
First,1,female,22,Adult
First,0,male,41,Adult
First,0,male,48,Adult
First,1,female,44,Adult
First,1,female,59,Adult
First,1,female,60,Adult
First,1,female,41,Adult
First,0,male,45,Adult
First,1,male,42,Adult
First,1,female,53,Adult
First,1,male,36,Adult
First,1,female,58,Adult
First,0,male,33,Adult
First,0,male,28,Adult
First,0,male,17,Adult
First,1,male,11,Child
First,1,female,14,Child
First,1,male,36,Adult
First,1,female,36,Adult
First,0,male,49,Adult
First,0,male,36,Adult
First,1,female,76,Adult
First,0,male,46,Adult
First,1,female,47,Adult
First,1,male,27,Adult
First,1,female,33,Adult
First,1,female,36,Adult
First,1,female,30,Adult
First,1,male,45,Adult
First,0,male,27,Adult
First,1,female,26,Adult
First,1,female,22,Adult
First,0,male,47,Adult
First,1,female,39,Adult
First,0,male,37,Adult
First,1,female,64,Adult
First,1,female,55,Adult
First,0,male,70,Adult
First,1,female,36,Adult
First,1,female,64,Adult
First,0,male,39,Adult
First,1,female,38,Adult
First,1,male,51,Adult
First,1,male,27,Adult
First,1,female,33,Adult
First,0,male,31,Adult
First,1,female,27,Adult
First,1,male,31,Adult
First,1,female,17,Adult
First,1,male,53,Adult
First,1,male,4,Child
First,1,female,54,Adult
First,0,male,50,Adult
First,1,female,27,Adult
First,1,female,48,Adult
First,1,female,48,Adult
First,1,male,49,Adult
First,0,male,39,Adult
First,1,female,23,Adult
First,1,female,38,Adult
First,1,female,54,Adult
First,0,female,36,Adult
First,1,male,36,Adult
First,0,male,30,Adult
First,1,female,24,Adult
First,1,female,28,Adult
First,1,female,23,Adult
First,0,male,19,Adult
First,0,male,64,Adult
First,1,female,60,Adult
First,1,female,30,Adult
First,1,male,50,Adult
First,1,male,43,Adult
First,1,female,22,Adult
First,1,male,60,Adult
First,1,female,48,Adult
First,0,male,37,Adult
First,1,female,35,Adult
First,0,male,47,Adult
First,1,female,35,Adult
First,1,female,22,Adult
First,1,female,45,Adult
First,0,male,24,Adult
First,1,male,49,Adult
First,0,male,71,Adult
First,1,male,53,Adult
First,1,female,19,Adult
First,0,male,38,Adult
First,1,female,58,Adult
First,1,male,23,Adult
First,1,female,45,Adult
First,0,male,46,Adult
First,1,male,25,Adult
First,1,female,25,Adult
First,1,male,48,Adult
First,1,female,49,Adult
First,0,male,45,Adult
First,1,female,35,Adult
First,0,male,40,Adult
First,1,male,27,Adult
First,1,female,24,Adult
First,0,male,55,Adult
First,1,female,52,Adult
First,0,male,42,Adult
First,0,male,55,Adult
First,1,female,16,Child
First,1,female,44,Adult
First,1,female,51,Adult
First,0,male,42,Adult
First,1,female,35,Adult
First,1,male,35,Adult
First,1,male,38,Adult
First,1,female,35,Adult
First,1,female,38,Adult
First,0,female,50,Adult
First,1,male,49,Adult
First,0,male,46,Adult
First,0,male,50,Adult
First,0,male,32.5,Adult
First,0,male,58,Adult
First,0,male,41,Adult
First,1,male,42,Adult
First,1,female,45,Adult
First,1,female,39,Adult
First,1,female,49,Adult
First,1,female,30,Adult
First,1,male,35,Adult
First,0,male,42,Adult
First,1,female,55,Adult
First,1,female,16,Child
First,1,female,51,Adult
First,0,male,29,Adult
First,1,female,21,Adult
