Country,Bir_1985,Bir_1990,Bir_1995,Bir_2000,Bir_2005,Bir_2010,Bir_2015,Bir_2020,Bir_2025,Bir_2030,Bir_2035,Bir_2040,Bir_2045,Bir_2050
Aruba,21.726,19.571,16.691,14.173,12.348,11.214,11.281,7.960125989,6.00977728,4.151835398,2.293893516,0.435951634,-1.421990248,-3.279932129
Africa Eastern and Southern,45.23753576,43.51798217,41.82049968,40.62416875,39.37448656,37.67700563,35.29975291,35.49076947,33.2910604,31.82679047,30.36252053,28.8982506,27.43398066,25.96971072
Afghanistan,49.735,48.88,48.835,48.021,44.723,39.829,34.809,38.18361073,34.40209108,32.24101102,30.07993097,27.91885091,25.75777085,23.59669079
Africa Western and Central,46.2396417,44.84173637,43.78176915,43.04577215,42.06709617,40.60150784,38.53572218,39.02292505,37.30809914,36.20611644,35.10413373,34.00215102,32.90016831,31.79818561
Angola,50.663,50.383,49.113,48.15,47.453,45.656,42.52,44.62077401,42.35492272,41.25160627,40.14828982,39.04497337,37.94165691,36.83834046
Albania,26.367,24.867,21.02,16.436,12.821,12.001,12.197,7.823379661,4.700796973,2.036185755,-0.628425464,-3.293036683,-5.957647902,-8.62225912
Andorra,,11.9,11,11.3,10.7,9.8,,,,9.59,9.14,8.69,8.24,7.79
Arab World,38.96897484,35.31807011,31.50174499,28.70911473,27.5377111,27.51343493,26.57699157,22.48168,20.59813723,18.54750877,16.49688031,14.44625186,12.3956234,10.34499494
United Arab Emirates,30.022,25.984,20.21,16.494,14.001,11.888,10.772,5.58659548,2.160762026,-1.107890732,-4.376543489,-7.645196247,-10.913849,-14.18250176
Argentina,22.889,22.226,20.881,19.499,18.735,18.154,17.548,17.30476384,15.82827478,14.97798129,14.1276878,13.27739431,12.42710082,11.57680733
Armenia,24.431,21.768,15.991,12.91,14.244,15.304,14.795,10.56629661,9.145184019,7.566077785,5.98697155,4.407865315,2.82875908,1.249652845
American Samoa,,,,,,18.7,,,,,,,,18.7
Antigua and Barbuda,18.525,18.659,19.555,19.84,18.137,16.547,15.883,13.35076102,14.30352337,13.57939631,12.85526925,12.13114219,11.40701513,10.68288808
Australia,15.7,15.4,14.2,13,12.8,13.7,12.9,10.9520339,11.04030266,10.4755912,9.910879742,9.346168281,8.78145682,8.216745359
Austria,11.6,11.8,11.2,9.8,9.5,9.4,9.8,7.623050847,7.757953995,7.239636804,6.721319613,6.203002421,5.68468523,5.166368039
Azerbaijan,26.6,25.9,18.9,14.5,16.9,18.3,17.2,10.42935254,10.22896199,8.370693745,6.512425504,4.654157264,2.795889023,0.937620783
Burundi,51.67,49.866,45.702,42.993,42.981,42.919,40.883,41.29907797,38.04596755,36.54748596,35.04900436,33.55052276,32.05204116,30.55355956
Belgium,11.6,12.4,11.4,11.4,11.4,11.9,10.8,9.811694915,10.32013317,10.0937268,9.86732042,9.640914044,9.414507667,9.188101291
Benin,46.991,46.029,44.356,42.371,40.726,39.278,37.432,38.44006441,35.5392822,34.11403757,32.68879294,31.26354831,29.83830367,28.41305904
Burkina Faso,48.457,47.417,46.939,46.253,44.817,42.314,39.437,41.61543955,39.13286263,37.90545878,36.67805494,35.45065109,34.22324724,32.9958434
Bangladesh,39.713,35.099,30.897,27.493,24.053,21.107,19.156,16.11730169,11.82790085,8.522009322,5.216117797,1.910226271,-1.395665254,-4.70155678
Bulgaria,13.3,12.1,8.6,9,9.3,10.2,9.2,7.225028249,7.083942696,6.465790288,5.84763788,5.229485472,4.611333064,3.993180656
Bahrain,32.514,29.217,24.77,21.722,18.778,16.547,15.096,11.3299548,8.04104883,5.106449825,2.171850821,-0.762748184,-3.697347189,-6.631946193
"Bahamas, The",25.819,23.892,22.131,17.609,15.33,15.045,14.224,12.30327232,9.375207587,7.393218375,5.411229163,3.429239952,1.44725074,-0.534738472
Bosnia and Herzegovina,16.996,14.844,13.185,10.983,9.255,9.256,8.655,4.541049718,3.911989144,2.344790907,0.777592669,-0.789605569,-2.356803807,-3.924002045
Belarus,16.5,14,9.9,9.4,9.3,11.4,12.5,8.337215819,8.190036481,7.472899704,6.755762927,6.03862615,5.321489373,4.604352596
Belize,38.587,35.862,32.791,29.868,26.386,23.402,21.733,20.61248701,16.43470779,13.71904599,11.00338419,8.287722397,5.5720606,2.856398803
Bermuda,,14.6,13.3,13.5,13.1,11.8,9.4,8.705300221,,8.174457269,7.203596578,6.232735888,5.261875197,4.291014507
Bolivia,37.208,35.336,32.84,30.314,27.604,25.008,22.821,21.7367339,18.55061695,16.20442811,13.85823927,11.51205042,9.165861582,6.81967274
Brazil,28.843,24.844,22.424,20.119,17.243,15.327,14.472,10.61204859,8.326024294,5.901695009,3.477365725,1.053036441,-1.371292844,-3.795622128
Barbados,17.079,15.988,14.896,13.934,13.069,11.748,10.806,8.310903955,8.000523406,6.838670164,5.676816922,4.51496368,3.353110439,2.191257197
Brunei Darussalam,30.253,29.401,26.238,22.679,19.211,17.329,16.365,13.13928192,10.29989096,7.738331121,5.176771281,2.615211441,0.053651601,-2.507908239
Bhutan,41.878,38.163,32.694,27.066,22.527,19.397,17.783,14.89780395,8.844044835,4.853671355,0.863297875,-3.127075605,-7.117449085,-11.10782257
Botswana,40.221,34.932,31.231,29.302,28.654,27.934,26.44,22.83949661,20.83689116,18.75749207,16.67809298,14.59869389,12.51929479,10.4398957
Central African Republic,42.64,42.004,41.376,41.347,40.692,38.905,36.454,37.89639322,36.46662518,35.64491985,34.82321453,34.0015092,33.17980387,32.35809855
Canada,14.9,15,12.6,10.7,10.6,11.1,10.7,8.007514124,7.718042776,6.832954668,5.947866559,5.06277845,4.177690342,3.292602233
Central Europe and the Baltics,15.7790584,13.54862721,10.51743481,9.770927434,9.760673841,10.54420078,9.888469993,8.119457426,7.142108991,6.28677627,5.431443548,4.576110827,3.720778106,2.865445384
Switzerland,11.5,12.5,11.7,10.9,9.8,10.3,10.5,8.255423729,8.645569007,8.193044794,7.740520581,7.287996368,6.835472155,6.382947942
Channel Islands,11.803,12.562,13.096,11.991,10.829,10.73,10.17,9.497747458,9.387159443,8.954340779,8.521522115,8.08870345,7.655884786,7.223066122
Chile,22.707,22.286,19.818,16.556,15.021,14.613,13.369,10.23710113,8.842443422,7.068344707,5.294245991,3.520147276,1.746048561,-0.028050155
China,21.04,21.06,17.12,14.03,12.4,11.9,12.07,7.575254237,6.265841404,4.402826877,2.539812349,0.676797821,-1.186216707,-3.049231235
Cote d'Ivoire,45.422,43.224,42.029,41.069,39.159,37.395,36.438,34.25319831,33.02059915,31.49769901,29.97479887,28.45189873,26.92899859,25.40609845
Cameroon,46.31,44.824,42.691,41.419,40.826,39.42,36.964,38.4193774,35.73736727,34.48807729,33.23878732,31.98949734,30.74020736,29.49091738
"Congo, Dem. Rep.",46.163,46.082,46.073,45.965,45.702,44.855,42.808,43.74227458,43.17920872,42.73596969,42.29273067,41.84949165,41.40625262,40.9630136
"Congo, Rep.",39.38,37.997,38.069,38.554,38.364,37.109,34.511,34.37082938,34.3177004,33.6562219,32.9947434,32.33326489,31.67178639,31.01030788
Colombia,28.813,27.136,25.094,22.256,19.295,16.779,15.515,11.87768814,9.887236925,7.45202046,5.016803995,2.58158753,0.146371065,-2.2888454
Comoros,45.372,42.558,39.435,37.497,36.317,35.209,33.328,32.5844226,29.77749701,27.99748461,26.21747221,24.43745981,22.6574474,20.877435
Cabo Verde,42.616,40.828,34.126,27.608,24.314,22.37,20.754,19.31147119,12.80894988,9.21295343,5.616956981,2.020960533,-1.575035916,-5.171032365
Costa Rica,29.692,27.394,23.352,19.335,16.72,15.719,14.762,10.81907175,7.896393019,5.268006141,2.639619263,0.011232385,-2.617154493,-5.245541371
Caribbean small states,27.66091211,24.79855001,22.56794085,20.41682625,18.67421643,17.51206875,16.52698108,13.1216621,11.58617215,9.680900473,7.775628796,5.870357119,3.965085442,2.059813765
Cuba,17.275,16.487,14.302,13.069,11.527,11.16,10.822,5.568067797,6.031176755,4.587825262,3.144473769,1.701122276,0.257770783,-1.18558071
Curacao,,,,,,13.6,11.9,,,,,,,10.2
Cayman Islands,17.6,18.6,14.9,15.4,15.7,14.8,11,,11.62857143,10.67857143,9.728571429,8.778571429,7.828571429,6.878571429
Cyprus,20.34,19.049,16.446,13.2,11.821,11.517,11.011,9.668766102,7.110811622,5.550637369,3.990463115,2.430288862,0.870114609,-0.690059645
Czech Republic,13.1,12.6,9.3,8.9,10,11.2,10.5,8.871581921,8.775076675,8.378660882,7.98224509,7.585829298,7.189413506,6.792997713
Germany,10.5,11.4,9.4,9.3,8.3,8.3,9,6.811977401,6.870274415,6.368891579,5.867508744,5.366125908,4.864743072,4.363360237
Djibouti,40.395,39.777,36.164,31.48,28.234,25.255,22.921,22.56468814,17.72034407,14.80290141,11.88545876,8.968016102,6.050573446,3.133130791
Dominica,,23,,,,13.2,,,,3.4,,,,-6.4
Denmark,10.5,12.3,13.3,12.6,11.9,11.4,10.2,9.752937853,10.30861178,10.04516613,9.781720474,9.518274818,9.254829163,8.991383508
Dominican Republic,31.612,29.568,27.239,24.771,22.836,21.398,20.32,15.26910565,14.47851711,12.3344902,10.19046329,8.04643638,5.90240947,3.75838256
Algeria,38.175,32.13,24.884,19.554,20.774,24.504,25.481,16.29270056,15.24177885,13.02343247,10.80508609,8.586739709,6.368393328,4.150046946
East Asia & Pacific (excluding high income),23.60792305,22.80410107,19.19360224,16.43590165,15.04980167,14.42273231,14.15730056,9.815400785,8.606539979,6.755583215,4.904626451,3.053669687,1.202712923,-0.648243841
Early-demographic dividend,35.41103925,32.26212802,29.13962612,26.70189908,24.76167581,22.84419964,21.09695249,18.7858045,16.03457506,13.7366105,11.43864593,9.140681362,6.842716795,4.544752229
East Asia & Pacific,22.39293903,21.56853578,18.3645796,15.83643002,14.39645076,13.86651706,13.59563552,9.444403602,8.391842698,6.660432981,4.929023265,3.197613549,1.466203832,-0.265205884
Europe & Central Asia (excluding high income),20.64700309,17.96953509,14.46337005,13.31218522,13.82996493,15.55523449,15.17654954,12.16372457,11.66356171,10.8355319,10.00750208,9.179472268,8.351442454,7.52341264
Europe & Central Asia,16.23536138,14.88365662,12.51043883,11.86452659,11.98573518,12.92478165,12.36699437,10.10437135,9.959340154,9.314863911,8.670387669,8.025911426,7.381435183,6.73695894
Ecuador,32.217,29.912,27.82,25.503,23.019,21.471,20.432,16.89450791,15.21989681,13.12241533,11.02493384,8.927452361,6.829970877,4.732489393
"Egypt, Arab Rep.",37.749,33.249,28.526,25.958,24.849,27.266,28.182,22.14794463,21.02132946,19.36143199,17.70153452,16.04163705,14.38173957,12.7218421
Euro area,11.99570855,11.71514052,10.43719392,10.62807486,10.3030433,10.35785545,9.663873136,7.703170198,8.161195758,7.67468204,7.188168321,6.701654603,6.215140884,5.728627166
Eritrea,45.011,41.58,34.524,32.518,36.552,36.25,32.191,30.37422994,28.61482926,26.94589604,25.27696282,23.6080296,21.93909638,20.27016316
Spain,11.9,10.3,9.1,9.8,10.6,10.4,9,5.954632768,7.305887813,6.789011972,6.272136131,5.755260291,5.23838445,4.721508609
Estonia,15.5,14.2,9.4,9.4,10.6,11.9,10.6,9.306779661,8.542675545,7.915859564,7.289043584,6.662227603,6.035411622,5.408595642
