Country,Dea_1985,Dea_1990,Dea_1995,Dea_2000,Dea_2005,Dea_2010,Dea_2015,Dea_2020,Dea_2025,Dea_2030,Dea_2035,Dea_2040,Dea_2045,Dea_2050
Aruba,6.785,7.059,6.943,6.971,7.32,7.918,8.627,8.463428571,8.735607143,9.007785714,9.279964286,9.552142857,9.824321429,10.0965
Africa Eastern and Southern,15.56692322,15.35552985,15.08650088,14.24857468,12.50333315,10.01962854,8.133775741,7.908550465,6.638750008,5.368949551,4.099149094,2.829348637,1.55954818,0.289747723
Afghanistan,18.005,15.241,13.282,11.718,10.003,8.25,6.929,4.705571429,2.902392857,1.099214286,-0.703964286,-2.507142857,-4.310321429,-6.1135
Africa Western and Central,17.68778626,17.01331053,16.6714038,16.13172958,14.50045341,12.4853029,10.9126616,10.55004407,9.423174793,8.296305521,7.169436249,6.042566977,4.915697704,3.788828432
Angola,19.789,19.555,19.292,18.036,15.24,11.68,9.052,8.661571429,6.803964286,4.946357143,3.08875,1.231142857,-0.626464286,-2.484071429
Albania,5.907,5.985,6.25,5.914,6.206,6.841,7.367,7.216857143,7.432857143,7.648857143,7.864857143,8.080857143,8.296857143,8.512857143
Andorra,,,,,3.6,2.8,,,,,,2,1.2,
Arab World,9.40189077,7.97506623,7.092828437,6.440958958,6.009849581,5.681657222,5.491656463,4.384772552,3.763326131,3.14187971,2.520433289,1.898986867,1.277540446,0.656094025
United Arab Emirates,2.988,2.562,2.175,1.869,1.605,1.403,1.377,0.894,0.61825,0.3425,0.06675,-0.209,-0.48475,-0.7605
Argentina,8.331,8.163,7.946,7.845,7.775,7.708,7.638,7.463714286,7.350857143,7.238,7.125142857,7.012285714,6.899428571,6.786571429
Armenia,7.166,8.473,8.769,8.575,9.168,9.739,9.823,10.37357143,10.76292857,11.15228571,11.54164286,11.931,12.32035714,12.70971429
American Samoa,,,,,,,,,,,,,,
Antigua and Barbuda,6.729,6.98,6.827,6.216,5.955,6.055,6.227,5.823,5.672,5.521,5.37,5.219,5.068,4.917
Australia,6.6,7,6.9,6.7,6.4,6.5,6.6,6.457142857,6.403571429,6.35,6.296428571,6.242857143,6.189285714,6.135714286
Austria,11.8,10.8,10.2,9.6,9.1,9.2,9.6,8.485714286,8.096428571,7.707142857,7.317857143,6.928571429,6.539285714,6.15
