Country,Pop_2020,Pop_2025,Pop_2030,Pop_2035,Pop_2040,Pop_2045,Pop_2050
China,1397026,1410807,1419019,1424558,1428383,1433211,1437978
India,1326094,1396047,1460744,1519491,1571716,1617238,1656554
United States,334504,347335,359403,370339,380220,389395,398329
Indonesia,279080,288429,296450,305653,314085,321524,327282
Brazil,216016,223028,228720,233068,236077,237826,238390
Pakistan,213720,228386,242862,256594,269152,280553,290848
Nigeria,204950,241581,285894,301935,322187,364465,402224
Bangladesh,169778,178312,185605,191616,196224,199442,201249
Russia,145723,141120,138215,136313,134496,132432,129909
Mexico,128650,134829,140063,144287,147495,149612,150568
Japan,126138,123366,120752,117747,114449,110907,107210
Ethiopia,114641,131261,149123,168007,187611,207685,228067
Philippines,109181,117446,125685,133729,141428,148672,155381
Egypt,99667,107653,111058,118256,125242,131823,137873
Vietnam,98722,102459,105478,107843,109602,110718,111174
Democratic Republic of the Congo,89250,99163,108872,118299,127440,136285,144806
Iran,86544,91882,93869,96673,98385,102281,107184
Germany,82983,80025,78022,76590,74984,73277,71542
Turkey,82018,84545,86671,88279,89283,89626,89291
Thailand,68978,69589,69751,69447,68696,67546,66064
France,67849,68861,69604,70051,70154,69936,69485
United Kingdom,65762,67244,68451,69394,70149,70743,71154
Italy,62403,62592,62623,62531,62139,61957,61416
Myanmar,59126,61748,64103,66155,67928,69445,70674
Tanzania,58553,68905,76071,85946,96400,107301,118587
South Africa,56464,59109,61496,63603,65494,67163,68529
Spain,50016,51416,52446,53139,53451,53271,52491
Kenya,49859,53197,56553,60244,64059,67608,70756
South Korea,49362,49373,49003,48173,46912,45284,43369
Colombia,49085,51195,52965,54345,55335,55956,56228
Argentina,45379,47165,48796,50273,51574,52663,53512
Ukraine,43923,42888,41699,40538,39428,38325,37149
Uganda,43518,50693,58489,66782,75460,84402,93477
Algeria,42973,45842,48149,50118,52030,53894,55445
Iraq,42213,47657,53387,59262,65148,70924,76520
Sudan,41131,42942,46338,49857,53188,56279,59130
Poland,38283,37754,36985,36052,35028,33926,32739
Morocco,37956,38854,40520,42302,43704,44957,46028
Afghanistan,36644,41118,45665,50195,54717,59256,63796
Canada,36388,37559,38565,39396,40071,40636,41136
Nepal,34209,36623,38886,40940,42777,44447,45985
Malaysia,32653,34684,36619,38448,40124,41620,42929
Peru,31915,33284,34445,35376,36096,36619,36944
Venezuela,31276,33189,34958,36544,37942,39174,40256
Uzbekistan,30566,31824,32855,33653,34279,34768,35117
Yemen,29885,32823,35660,38437,41142,43710,46081
Saudi Arabia,29819,31878,33826,35615,37250,38782,40251
Ghana,29341,32611,36120,39872,43862,48058,52416
Mozambique,28604,32307,36622,41434,46746,52586,58999
Cameroon,26970,30509,34353,38465,42797,47292,51913
Madagascar,26956,30183,33418,36615,39759,42834,45808
