Language,Pop_1985,Pop_1990,Pop_1995,Pop_2000,Pop_2005,Pop_2010,Pop_2015,Pop_2020,Pop_2025,Pop_2030,Pop_2035,Pop_2040,Pop_2045,Pop_2050,Bir_1985,Bir_1990,Bir_1995,Bir_2000,Bir_2005,Bir_2010,Bir_2015,Bir_2020,Bir_2025,Bir_2030,Bir_2035,Bir_2040,Bir_2045,Bir_2050,Dea_1985,Dea_1990,Dea_1995,Dea_2000,Dea_2005,Dea_2010,Dea_2015,Dea_2020,Dea_2025,Dea_2030,Dea_2035,Dea_2040,Dea_2045,Dea_2050
Dari,13120,13569,19446,22462,26335,29121,32565,36644,41118,45665,50195,54717,59256,63796,49.735,48.88,48.835,48.021,44.723,39.829,34.809,38.18361073,34.40209108,32.24101102,30.07993097,27.91885091,25.75777085,23.59669079,18.005,15.241,13.282,11.718,10.003,8.25,6.929,4.705571429,2.902392857,1.099214286,-0.703964286,-2.507142857,-4.310321429,-6.1135
Arabic,22009,25191,28322,30639,32918,35950,39543,42973,45842,48149,50118,52030,53894,55445,38.175,32.13,24.884,19.554,20.774,24.504,25.481,16.29270056,15.24177885,13.02343247,10.80508609,8.586739709,6.368393328,4.150046946,7.76,6.207,5.499,4.961,4.674,4.656,4.715,3.63,3.1635,2.697,2.2305,1.764,1.2975,0.831
Spanish,30672,33036,35274,37336,39182,41344,43432,45379,47165,48796,50273,51574,52663,53512,22.889,22.226,20.881,19.499,18.735,18.154,17.548,17.30476384,15.82827478,14.97798129,14.1276878,13.27739431,12.42710082,11.57680733,8.331,8.163,7.946,7.845,7.775,7.708,7.638,7.463714286,7.350857143,7.238,7.125142857,7.012285714,6.899428571,6.786571429
Bengali,102309,112213,121443,132151,144139,156119,168958,169778,178312,185605,191616,196224,199442,201249,39.713,35.099,30.897,27.493,24.053,21.107,19.156,16.11730169,11.82790085,8.522009322,5.216117797,1.910226271,-1.395665254,-4.70155678,12.547,10.352,8.289,6.883,6.205,5.734,5.549,3.320714286,2.166642857,1.012571429,-0.1415,-1.295571429,-2.449642857,-3.603714286
Portuguese,135734,149410,161912,174316,186021,195835,204260,216016,223028,228720,233068,236077,237826,238390,28.843,24.844,22.424,20.119,17.243,15.327,14.472,10.61204859,8.326024294,5.901695009,3.477365725,1.053036441,-1.371292844,-3.795622128,7.662,6.948,6.472,6.189,6.037,6.045,6.25,5.589428571,5.358107143,5.126785714,4.895464286,4.664142857,4.432821429,4.2015
English,25942,27791,29691,31100,32387,33760,35100,36388,37559,38565,39396,40071,40636,41136,14.9,15,12.6,10.7,10.6,11.1,10.7,8.007514124,7.718042776,6.832954668,5.947866559,5.06277845,4.177690342,3.292602233,7,7.3,7.2,7.1,7.1,7,7.4,7.228571429,7.246428571,7.264285714,7.282142857,7.3,7.317857143,7.335714286
Mandarin,1061876,1153164,1221056,1268302,1302285,1336681,1367486,1397026,1410807,1419019,1424558,1428383,1433211,1437978,21.04,21.06,17.12,14.03,12.4,11.9,12.07,7.575254237,6.265841404,4.402826877,2.539812349,0.676797821,-1.186216707,-3.049231235,6.78,6.67,6.57,6.45,6.51,7.11,7.11,7.001428571,7.066071429,7.130714286,7.195357143,7.26,7.324642857,7.389285714
Spanish,29748,33148,36532,38911,41488,44206,46737,49085,51195,52965,54345,55335,55956,56228,28.813,27.136,25.094,22.256,19.295,16.779,15.515,11.87768814,9.887236925,7.45202046,5.016803995,2.58158753,0.146371065,-2.2888454,5.758,5.698,5.511,5.189,5.14,5.247,5.41,5.090857143,5.008107143,4.925357143,4.842607143,4.759857143,4.677107143,4.594357143
Amharic,40684,47555,55726,64366,74355,86043,99466,114641,131261,149123,168007,187611,207685,228067,48.937,47.479,46.245,43.728,39.307,35.861,33.635,35.62153164,30.7444801,28.38732203,26.03016395,23.67300587,21.31584779,18.95868972,20.445,18.141,16.299,14.024,11.126,8.441,7.017,4.376571429,2.06025,-0.256071429,-2.572392857,-4.888714286,-7.205035714,-9.521357143
French,56561,58256,59824,61256,63060,64941,66554,67849,68861,69604,70051,70154,69936,69485,14.2,13.4,12.8,13.3,12.8,12.9,12,10.84175141,11.13516142,10.76959309,10.40402475,10.03845642,9.672888082,9.307319747,9.8,9.3,9.1,8.9,8.5,8.5,8.9,8.3,8.125,7.95,7.775,7.6,7.425,7.25
