Language,Pop_1985,Pop_1990,Pop_1995,Pop_2000,Pop_2005,Pop_2010,Pop_2015,Pop_2020,Pop_2025,Pop_2030,Pop_2035,Pop_2040,Pop_2045,Pop_2050,Bir_1985,Bir_1990,Bir_1995,Bir_2000,Bir_2005,Bir_2010,Bir_2015,Bir_2020,Bir_2025,Bir_2030,Bir_2035,Bir_2040,Bir_2045,Bir_2050,Dea_1985,Dea_1990,Dea_1995,Dea_2000,Dea_2005,Dea_2010,Dea_2015,Dea_2020,Dea_2025,Dea_2030,Dea_2035,Dea_2040,Dea_2045,Dea_2050
Amharic,40684,47555,55726,64366,74355,86043,99466,114641,131261,149123,168007,187611,207685,228067,48.937,47.479,46.245,43.728,39.307,35.861,33.635,35.62153164,30.7444801,28.38732203,26.03016395,23.67300587,21.31584779,18.95868972,20.445,18.141,16.299,14.024,11.126,8.441,7.017,4.376571429,2.06025,-0.256071429,-2.572392857,-4.888714286,-7.205035714,-9.521357143
Arabic,74491,86382,97743,107133,116346,126307,136728,151879,159516,168833,177892,186172,193912,200854,156.33,138.979,121.561,107.705,103.941,103.312,98.519,80.02087796,71.20804612,61.74405976,52.2800734,42.81608705,33.35210069,23.88811432,35.682,30.558,27.603,25.256,23.106,21.467,20.673,16.66271429,14.24464286,11.82657143,9.4085,6.990428571,4.572357143,2.154285715
Bengali,102309,112213,121443,132151,144139,156119,168958,169778,178312,185605,191616,196224,199442,201249,39.713,35.099,30.897,27.493,24.053,21.107,19.156,16.11730169,11.82790085,8.522009322,5.216117797,1.910226271,-1.395665254,-4.70155678,12.547,10.352,8.289,6.883,6.205,5.734,5.549,3.320714286,2.166642857,1.012571429,-0.1415,-1.295571429,-2.449642857,-3.603714286
Burmese,36766,40464,43994,47439,50573,53415,56321,59126,61748,64103,66155,67928,69445,70674,31.749,27.486,25.277,24.588,22.746,19.782,18.041,15.00928192,13.29567667,11.12031922,8.944961757,6.769604298,4.594246839,2.41888938,12.131,11.008,10.332,9.864,9.447,8.858,8.295,7.606,7.009821429,6.413642857,5.817464286,5.221285714,4.625107143,4.028928571
Dari,13120,13569,19446,22462,26335,29121,32565,36644,41118,45665,50195,54717,59256,63796,49.735,48.88,48.835,48.021,44.723,39.829,34.809,38.18361073,34.40209108,32.24101102,30.07993097,27.91885091,25.75777085,23.59669079,18.005,15.241,13.282,11.718,10.003,8.25,6.929,4.705571429,2.902392857,1.099214286,-0.703964286,-2.507142857,-4.310321429,-6.1135
English,508236,550278,599250,646962,699445,757135,816199,879339,958234,1041042,1097511,1157902,1239771,1316608,308.531,296.616,278.383,268.55,263.033,254.101,236.026,229.3165582,216.6866719,205.546028,194.405384,183.2647401,172.1240961,160.9834522,109.763,107.807,110.176,109.244,99.5,84.947,75.592,76.87428572,71.19896428,65.52364286,59.84832143,54.173,48.49767858,42.82235714
Filipino,54589,61481,68472,76452,84965,93137,100999,109181,117446,125685,133729,141428,148672,155381,34.936,33.02,31.016,29.606,27.372,25.024,22.273,21.23907571,18.96307357,16.94136559,14.91965761,12.89794964,10.87624166,8.854533683,7.081,6.298,5.556,5.432,5.469,5.623,5.798,5.138714286,4.949928571,4.761142857,4.572357143,4.383571429,4.194785714,4.006
French,56561,58256,59824,61256,63060,64941,66554,67849,68861,69604,70051,70154,69936,69485,14.2,13.4,12.8,13.3,12.8,12.9,12,10.84175141,11.13516142,10.76959309,10.40402475,10.03845642,9.672888082,9.307319747,9.8,9.3,9.1,8.9,8.5,8.5,8.9,8.3,8.125,7.95,7.775,7.6,7.425,7.25
German,77685,79381,81654,82184,82440,81645,80855,82983,80025,78022,76590,74984,73277,71542,10.5,11.4,9.4,9.3,8.3,8.3,9,6.811977401,6.870274415,6.368891579,5.867508744,5.366125908,4.864743072,4.363360237,12,11.6,10.8,10.2,10.1,10.5,11.3,10.21428571,10.03571429,9.857142857,9.678571429,9.5,9.321428571,9.142857143
Hindi,759613,838159,920585,1006301,1090974,1173109,1251696,1326094,1396047,1460744,1519491,1571716,1617238,1656554,34.418,31.517,28.749,26.401,24.087,21.114,18.625,17.45838305,14.13208438,11.65117583,9.170267272,6.689358717,4.208450161,1.727541606,12.117,10.864,9.579,8.692,8.074,7.492,7.194,5.856285714,5.034214286,4.212142857,3.390071429,2.568,1.745928571,0.923857143
Indonesian,166070,181600,197604,214091,229245,243423,255994,279080,288429,296450,305653,314085,321524,327282,29.592,25.813,22.877,21.773,21.765,20.795,19.165,14.22406328,14.12178164,12.37095358,10.62012552,8.869297458,7.118469397,5.367641337,9.298,8.339,7.67,7.475,7.203,6.653,6.419,5.797285714,5.351714286,4.906142857,4.460571429,4.015,3.569428571,3.123857143
Iraq,15694,18140,19658,23129,27538,30527,37057,42213,47657,53387,59262,65148,70924,76520,38.588,37.755,36.953,35.821,34.092,33.349,31.109,29.98907966,29.03039697,27.76892742,26.50745787,25.24598832,23.98451877,22.72304921,9.209,7.063,6.03,5.627,5.716,5.514,4.965,3.997142857,3.420571429,2.844,2.267428571,1.690857143,1.114285714,0.537714286
