,Unnamed: 0,Country,Pop_1985,Pop_1990,Pop_1995,Pop_2000,Pop_2005,Pop_2010,Pop_2015,Pop_2020,Pop_2025,Pop_2030,Pop_2035,Pop_2040,Pop_2045,Pop_2050,Diff_2050_2020
0,0,Afghanistan,13120,13569,19446,22462,26335,29121,32565,36644,41118,45665,50195,54717,59256,63796,27152
1,1,Algeria,22009,25191,28322,30639,32918,35950,39543,42973,45842,48149,50118,52030,53894,55445,12472
2,2,Argentina,30672,33036,35274,37336,39182,41344,43432,45379,47165,48796,50273,51574,52663,53512,8133
3,3,Bangladesh,102309,112213,121443,132151,144139,156119,168958,169778,178312,185605,191616,196224,199442,201249,31471
4,4,Brazil,135734,149410,161912,174316,186021,195835,204260,216016,223028,228720,233068,236077,237826,238390,22374
5,5,Canada,25942,27791,29691,31100,32387,33760,35100,36388,37559,38565,39396,40071,40636,41136,4748
6,6,China,1061876,1153164,1221056,1268302,1302285,1336681,1367486,1397026,1410807,1419019,1424558,1428383,1433211,1437978,40952
7,7,Colombia,29748,33148,36532,38911,41488,44206,46737,49085,51195,52965,54345,55335,55956,56228,7143
8,8,Democratic Republic of the Congo,33348,39152,46705,52446,60699,69852,79376,89250,99163,108872,118299,127440,136285,144806,55556
9,9,Egypt,50053,54908,58946,65159,72544,80472,88488,99667,107653,111058,118256,125242,131823,137873,38206
10,10,Ethiopia,40684,47555,55726,64366,74355,86043,99466,114641,131261,149123,168007,187611,207685,228067,113426
11,11,France,56561,58256,59824,61256,63060,64941,66554,67849,68861,69604,70051,70154,69936,69485,1636
12,12,Germany,77685,79381,81654,82184,82440,81645,80855,82983,80025,78022,76590,74984,73277,71542,-11441
13,13,Ghana,13573,15549,17322,18982,21107,23572,26328,29341,32611,36120,39872,43862,48058,52416,23075
14,14,India,759613,838159,920585,1006301,1090974,1173109,1251696,1326094,1396047,1460744,1519491,1571716,1617238,1656554,330460
15,15,Indonesia,166070,181600,197604,214091,229245,243423,255994,279080,288429,296450,305653,314085,321524,327282,48202
16,16,Iran,48619,58101,64218,68632,72283,76924,81825,86544,91882,93869,96673,98385,102281,107184,20640
17,17,Iraq,15694,18140,19658,23129,27538,30527,37057,42213,47657,53387,59262,65148,70924,76520,34307
18,18,Italy,56719,56714,57295,57785,59038,60749,61856,62403,62592,62623,62531,62139,61957,61416,-987
19,19,Japan,120755,123538,125328,126776,127716,127580,126920,126138,123366,120752,117747,114449,110907,107210,-18928
20,20,Kenya,19763,23361,27164,30606,35247,40844,45926,49859,53197,56553,60244,64059,67608,70756,20897
21,21,Madagascar,10029,11633,13533,15713,18132,20847,23813,26956,30183,33418,36615,39759,42834,45808,18852
22,22,Malaysia,15650,17883,20340,23152,25969,28275,30514,32653,34684,36619,38448,40124,41620,42929,10276
23,23,Mexico,76601,84635,92584,99776,106577,114062,121737,128650,134829,140063,144287,147495,149612,150568,21918
24,24,Morocco,21644,24000,26148,28114,29901,31628,33323,37956,38854,40520,42302,43704,44957,46028,8072
