review_date,helpful_votes,total_votes,weighted_votes,weighted_ratings
2003-04-27,0,0,1,-1
2003-12-02,2,2,3,-6
2004-04-04,1,1,3,4
2004-05-24,0,0,1,-1
2004-06-20,2,3,2,-2
2005-02-06,0,0,1,2
2005-04-07,276,308,292,197
2005-04-08,42,60,32,84
2005-10-02,6,6,7,14
2005-11-21,6,6,7,14
2006-02-20,4,4,5,5
2006-03-15,19,20,19,38
2006-04-01,6,6,7,14
2006-08-27,6,7,6,12
2006-10-02,24,26,23,46
2006-10-18,5,5,6,12
2006-11-01,9,12,7,14
2006-11-18,4,11,-2,4
2006-12-03,4,5,4,4
2006-12-11,1,1,2,4
2007-01-03,2,5,0,0
2007-01-09,2,2,3,6
2007-01-11,8,11,7,-7
2007-01-31,7,7,8,8
2007-02-05,3,5,2,2
2007-03-14,3,3,4,-4
2007-03-18,1,2,1,-2
2007-04-09,2,3,2,2
2007-05-24,3,4,3,3
2007-06-12,3,12,-5,10
2007-06-27,0,0,1,1
2007-07-07,1,1,2,4
2007-07-10,1,1,2,2
2007-07-13,4,7,2,4
2007-07-19,0,0,1,0
2007-07-28,7,11,4,4
2007-08-09,2,3,2,4
2007-08-11,2,3,2,4
2007-08-16,16,18,15,15
2007-08-27,2,2,3,-3
2007-09-06,0,12,-11,0
2007-09-10,2,3,2,-2
2007-09-14,7,7,8,8
2007-09-15,0,0,1,2
2007-09-19,2,4,1,2
2007-09-29,3,4,3,-3
2007-09-30,1,1,2,2
2007-10-17,19,20,19,38
2007-10-30,3,3,4,8
2007-11-07,0,0,1,2
2007-11-26,0,0,1,2
2007-12-02,4,5,4,8
2007-12-06,3,6,2,4
2007-12-16,8,10,7,14
2007-12-18,0,0,1,2
2007-12-31,4,4,5,10
2008-01-02,0,0,1,2
2008-01-05,0,0,1,2
2008-01-18,21,38,5,-5
2008-02-10,8,10,7,0
2008-02-11,0,0,1,2
2008-02-14,7,10,5,5
2008-02-15,1,2,1,2
2008-03-16,31,33,30,-30
2008-03-18,4,5,4,4
2008-03-28,0,6,-5,0
2008-03-29,4,5,4,8
2008-04-06,0,0,1,2
2008-04-07,1,2,1,2
2008-04-18,0,0,1,0
2008-05-09,2,3,2,-4
2008-05-15,3,3,4,0
2008-05-24,0,4,-3,-3
2008-06-02,0,0,1,2
2008-06-04,1,2,2,4
2008-06-05,0,0,1,2
2008-06-13,0,0,1,0
2008-06-17,0,0,1,2
2008-06-18,0,0,1,2
2008-06-21,0,2,-1,2
2008-06-23,1,1,2,4
2008-06-26,0,0,1,1
2008-07-07,0,0,1,2
2008-07-25,9,22,-1,6
2008-08-08,1,1,2,2
2008-08-09,0,0,1,1
2008-08-13,1,1,3,6
2008-08-17,12,13,12,-12
2008-08-21,3,4,3,6
2008-08-22,0,0,1,2
2008-08-25,1,1,2,4
2008-09-04,0,0,2,4
2008-09-08,0,0,1,2
2008-09-16,0,2,-1,-2
2008-09-22,4,5,5,10
2008-09-30,30,36,27,54
2008-10-05,0,1,0,0
2008-10-08,12,13,12,0
2008-10-21,0,0,1,2
